Album,Song
Taylor Swift,Tim McGraw
Taylor Swift,Picture to Burn
Taylor Swift,Teardrops On My Guitar
Taylor Swift,A Place in This World
Taylor Swift,Cold As You
Taylor Swift,The Outside
Taylor Swift,Tied Together with a Smile
Taylor Swift,Stay Beautiful
Taylor Swift,Should've Said No
Taylor Swift,Mary's Song (Oh My My My)
Taylor Swift,Our Song
Taylor Swift,I'm Only Me When I'm With You
Taylor Swift,Invisible
Taylor Swift,A Perfectly Good Heart
Fearless,Fearless
Fearless,Fifteen
Fearless,Love Story
Fearless,Hey Stephen
Fearless,White Horse
Fearless,You Belong With Me
Fearless,Breathe
Fearless,Tell Me Why
Fearless,You're Not Sorry
Fearless,The Way I Loved You
Fearless,Forever & Always
Fearless,The Best Day
Fearless,Change
Fearless,Jump Then Fall
Fearless,Untouchable
Fearless,Forever & Always (Piano Version)
Fearless,Come In With the Rain
Fearless,SuperStar
Fearless,The Other Side of the Door
Fearless,Today Was a Fairytale
Fearless,You All Over Me
Fearless,Mr. Perfectly Fine
Fearless,We Were Happy
Fearless,That's When
Fearless,Don't You
Fearless,Bye Bye Baby
Speak Now,Mine
Speak Now,Sparks Fly
Speak Now,Back to December
Speak Now,Speak Now
Speak Now,Dear John
Speak Now,Mean
Speak Now,The Story of Us
Speak Now,Never Grow Up
Speak Now,Enchanted
Speak Now,Better Than Revenge
Speak Now,Innocent
Speak Now,Haunted
Speak Now,Last Kiss
Speak Now,Long Live
Speak Now,Ours
Speak Now,Superman
Speak Now,Electric Touch
Speak Now,When Emma Falls in Love
Speak Now,I Can See You
Speak Now,Castles Crumbling
Speak Now,Foolish One
Speak Now,Timeless
Red,State of Grace
Red,Red
Red,Treacherous
Red,I Knew You Were Trouble
Red,All Too Well
Red,22
Red,I Almost Do
Red,We Are Never Ever Getting Back Together
Red,Stay Stay Stay
Red,The Last Time
Red,Holy Ground
Red,Sad Beautiful Tragic
Red,The Lucky One
Red,Everything Has Changed
Red,Starlight
Red,Begin Again
Red,The Moment I Knew
Red,Come Back... Be Here
Red,Girl at Home
Red,Ronan
Red,Better Man
Red,Nothing New
Red,Babe
Red,Message in a Bottle
Red,I Bet You Think About Me
Red,Forever Winter
Red,Run
Red,The Very First Night
Red,All Too Well (10 Minute Version)
1989,Welcome to New York
1989,Blank Space
1989,Style
1989,Out of the Woods
1989,All You Had to Do Was Stay
1989,Shake It Off
1989,I Wish You Would
1989,Bad Blood
1989,Wildest Dreams
1989,How You Get the Girl
1989,This Love
1989,I Know Places
1989,Clean
1989,Wonderland
1989,You Are in Love
1989,New Romantics
1989,Slut!
1989,Say Don't Go
1989,Now That We Don't Talk
1989,Suburban Legends
1989,Is It Over Now?
Reputation,...Ready for It?
Reputation,End Game
Reputation,I Did Something Bad
Reputation,Don't Blame Me
Reputation,Delicate
Reputation,Look What You Made Me Do
Reputation,So It Goes...
Reputation,Gorgeous
Reputation,Getaway Car
Reputation,King of My Heart
Reputation,Dancing With Our Hands Tied
Reputation,Dress
Reputation,This Is Why We Can't Have Nice Things
Reputation,Call It What You Want
Reputation,New Year's Day
Lover,I Forgot That You Existed
Lover,Cruel Summer
Lover,Lover
Lover,The Man
Lover,The Archer
Lover,I Think He Knows
Lover,Miss Americana & the Heartbreak Prince
Lover,Paper Rings
Lover,Cornelia Street
Lover,Death by a Thousand Cuts
Lover,London Boy
Lover,Soon You'll Get Better
Lover,False God
Lover,You Need to Calm Down
Lover,Afterglow
Lover,ME!
Lover,It's Nice to Have a Friend
Lover,Daylight
Folklore,the 1
Folklore,cardigan
Folklore,the last great american dynasty
Folklore,exile
Folklore,my tears ricochet
Folklore,mirrorball
Folklore,seven
Folklore,august
Folklore,this is me trying
Folklore,illicit affairs
Folklore,invisible string
Folklore,mad woman
Folklore,epiphany
Folklore,betty
Folklore,peace
Folklore,hoax
Folklore,the lakes
Evermore,willow
Evermore,champagne problems
Evermore,gold rush
Evermore,'tis the damn season
Evermore,tolerate it
Evermore,no body no crime
Evermore,happiness
Evermore,dorothea
Evermore,coney island
Evermore,ivy
Evermore,cowboy like me
Evermore,long story short
Evermore,marjorie
Evermore,closure
Evermore,evermore
Evermore,right where you left me
Evermore,it's time to go
Midnights,Lavender Haze
Midnights,Maroon
Midnights,Anti-Hero
Midnights,Snow On The Beach
Midnights,You're On Your Own Kid
Midnights,Midnight Rain
Midnights,Question...?
Midnights,Vigilante Shit
Midnights,Bejeweled
Midnights,Labyrinth
Midnights,Karma
Midnights,Sweet Nothing
Midnights,Mastermind
Midnights,The Great War
Midnights,Bigger Than the Whole Sky
Midnights,Paris
Midnights,High Infidelity
Midnights,Glitch
Midnights,Would've Could've Should've
Midnights,Dear Reader
Midnights,Hits Different
The Tortured Poets Department,Fortnight
The Tortured Poets Department,The Tortured Poets Department
The Tortured Poets Department,My Boy Only Breaks His Favorite Toys
The Tortured Poets Department,Down Bad
The Tortured Poets Department,So Long London
The Tortured Poets Department,But Daddy I Love Him
The Tortured Poets Department,Fresh Out the Slammer
The Tortured Poets Department,Florida!!!
The Tortured Poets Department,Guilty as Sin?
The Tortured Poets Department,Who's Afraid of Little Old Me?
The Tortured Poets Department,I Can Fix Him (No Really I Can)
The Tortured Poets Department,loml
The Tortured Poets Department,I Can Do It With a Broken Heart
The Tortured Poets Department,The Smallest Man Who Ever Lived
The Tortured Poets Department,The Alchemy
The Tortured Poets Department,Clara Bow
The Tortured Poets Department,The Black Dog
The Tortured Poets Department,imgonnagetyouback
The Tortured Poets Department,The Albatross
The Tortured Poets Department,Chloe or Sam or Sophia or Marcus
The Tortured Poets Department,How Did It End?
The Tortured Poets Department,So High School
The Tortured Poets Department,I Hate It Here
The Tortured Poets Department,thanK you aIMee
The Tortured Poets Department,I Look in People's Windows
The Tortured Poets Department,The Prophecy
The Tortured Poets Department,Cassandra
The Tortured Poets Department,Peter
The Tortured Poets Department,The Bolter
